CAST_SPEED_MIN,CAST_SPEED_MAX,PLT_THK_LS_MIN,PLT_THK_LS_MAX,PLT_THK_NSRS_MIN,PLT_THK_NSRS_MAX,WIDTH_MIN,WIDTH_MAX,THICK_MIN,THICK_MAX,HF_LEFT_MIN_95,HF_LEFT_MAX_95,HF_LEFT_MIN_70,HF_LEFT_MAX_70,HF_RIGHT_MIN_95,HF_RIGHT_MAX_95,HF_RIGHT_MIN_70,HF_RIGHT_MAX_70,HFR_LEFT_MIN_95,HFR_LEFT_MAX_95,HFR_LEFT_MIN_70,HFR_LEFT_MAX_70,HFR_RIGHT_MIN_95,HFR_RIGHT_MAX_95,HFR_RIGHT_MIN_70,HFR_RIGHT_MAX_70,HF_FIX_MIN_95,HF_FIX_MAX_95,HF_FIX_MIN_70,HF_FIX_MAX_70,HF_LOOSE_MIN_95,HF_LOOSE_MAX_95,HF_LOOSE_MIN_70,HF_LOOSE_MAX_70
5.5,7,25.4,27,18,19,1100,1150,55,60, , , , , , , , , , , , , , , , , , , , , , , , 
5.5,7,23.8,25.39,17,18,1100,1150,55,60, , , , , , , , , , , , , , , , , , , , , , , , 
5.5,7,22.2,23.79,16,17,1100,1150,55,60, , , , , , , , , , , , , , , , , , , , , , , , 
5.5,7,20.6,22.59,15,16,1100,1150,55,60, , , , , , , , , , , , , , , , , , , , , , , , 
5.5,7,19.0,20.59,14,15,1100,1150,55,60, , , , , , , , , , , , , , , , , , , , , , , , 
5.5,7,17.4,18.99,13,14,1100,1150,55,60, , , , , , , , , , , , , , , , , , , , , , , , 
5.5,7,25.4,27,18,19,1150,1200,55,60, , , , , , , , , , , , , , , , , , , , , , , , 
5.5,7,23.8,25.39,17,18,1150,1200,55,60, , , , , , , , , , , , , , , , , , , , , , , , 
5.5,7,22.2,23.79,16,17,1150,1200,55,60, , , , , , , , , , , , , , , , , , , , , , , , 
5.5,7,20.6,22.59,15,16,1150,1200,55,60, , , , , , , , , , , , , , , , , , , , , , , , 
5.5,7,19.0,20.59,14,15,1150,1200,55,60, , , , , , , , , , , , , , , , , , , , , , , , 
5.5,7,17.4,18.99,13,14,1150,1200,55,60, , , , , , , , , , , , , , , , , , , , , , , , 
5.5,7,25.4,27,18,19,1200,1250,55,60, , , , , , , , , , , , , , , , , , , , , , , , 
5.5,7,23.8,25.39,17,18,1200,1250,55,60, , , , , , , , , , , , , , , , , , , , , , , , 
5.5,7,22.2,23.79,16,17,1200,1250,55,60, , , , , , , , , , , , , , , , , , , , , , , , 
5.5,7,20.6,22.59,15,16,1200,1250,55,60, , , , , , , , , , , , , , , , , , , , , , , , 
5.5,7,19.0,20.59,14,15,1200,1250,55,60, , , , , , , , , , , , , , , , , , , , , , , , 
